clusterno,,docNo,raw_doc
13,369,2731,코가 시원하다
13,370,1708,사용하면 바로바로 효과가 있고 시원해서 좋다
13,371,1709,썼을 때는 괜찮았다.
13,372,2734,밤에 뿌리고자고 아침에 뿌리고나면 효과가 나타나서 하루종일 편했음
13,373,2333,"지속성과 신속성이 있으며, 코가 잘 뚫린다."
13,374,693,금방 다시 사용 하게된다는건 효과가 오래 가지 않는다는거니까요
13,375,694,스스로도 하기 편하다.
13,376,2747,거의 비슷해요
13,377,629,한번 사용하면 막혔던 콧물이 나오는 느낌이 든다
13,378,1728,보통의 일반적인 효과
13,379,1730,뿌리면 코 속이 편해진다
13,380,2756,"효과가 굉장히 빠르고, 지속력도 좋다."
13,381,2761,특별히 기억이 없다.. 2번 의사 처방으로 사용해봤지만 사용 후 재구매를 하지 않았음
13,382,2762,평범하다
13,383,719,천연 한방 제품이라서.
13,384,723,시원해지긴한데..코 점막에 자극을 좀 주는거 같다하는군요..조금 쓰라리다구 해요
13,385,725,그냥 평범하다
13,386,727,약이 나름 괜찮다
13,387,728,간편하게 잠시 잠간 은 뻥 뚤림
13,388,1753,다른제품을 사용해보지 않았지만 대략 괜찮은것 같음
13,389,730,급하니까 사용함
13,390,1755,코속 부기가 잘가라안는것 같다
13,391,2780,사용 시 효과를 느낄 수 있지만 근본적인 해결이 되지는 않았기 때문에
13,392,2784,효과지속력
13,393,1763,증상에 대한 완화 효과과 일시적인 것 같아서.
13,394,741,효과가 굉장히 신속하게 나타났고 비교적 오랜 기간동안 지속되었기 때문이다.
13,395,2790,그 당시에 유용했음
13,396,2275,생각보다 나아지는걸 못 느꼇다.
13,397,2792,사용시 효과를 보니까
13,398,745,순간적으로만 효과가 있고 사용할때 약이 입으로 넘어와서 쓴맛이 느껴짐
13,399,747,다리가 저려와서
13,400,748,효과가 뚜렷한지 아닌지 느끼지 못해서.
13,401,1775,제품을 사용하면 비염 증상이 일시적으로 완화되기 때문에
13,402,755,일시적으로는 효과가 있지만 개선되는지 알 수 없음.
13,403,2805,효과가 어느정도 입증되었기 때문에 제품사용에 있어서 만족을 느낀다.
13,404,2806,효과가 좋지도 나쁘지도않아서
13,405,1784,혼자 코 안에 뿌리다가 너무 깊게 넣었던 불편한 경험을 한 적이 있음
13,406,761,비염 증상이 사라졌습니다.
13,407,1355,증상의 차도가 안보이는듯하다
13,408,763,사용후 시원하고 상쾌함
13,409,765,코에뿌리면 약품이 흘러 불편함
13,410,2003,효과가 있는듯함
13,411,770,자극적이지 않다
13,412,1796,신속한 효과
13,413,773,자주사용하니 좋다
13,414,774,효능이 좋다.
13,415,1799,"진료 당시 의사가 처방해 주었으며, 처방 해준 스프레이가 효과가 있었기 때문에 추후에도 계속 처방을 요구 했음"
13,416,2242,쓰기편리하다
13,417,1801,코스프레이 자체가 싫음
13,418,781,증상이 좋아져서
13,419,782,딱히 놓아지는 것을 느끼지 못했다
13,420,787,뿌리기 약간 겁이 났고 뿌렸다고해서 바로 효과가 나는지 모르겠어서.
13,421,2836,사용할때 느낄수 있는 효과가 크지 않다.
13,422,1813,필요할때만 쓰기 때문에
13,423,790,유일하게 사용한 제품
13,424,2839,숨쉬기가 불편하다고 느낄때 뿌려주면 코가 어느정도 뚫려서 답답함을 제거 할 수 있어서 만족합니다.
13,425,760,그냥 쓸만해요
13,426,1818,빠른 효과와 지속성
13,427,1822,평범
13,428,1823,"효과가 대체로 빠르게 나타나는편이고,  
언젠가 다른 제품을 썻을때 점막이 따가운 경험을 했는데,  
오트리빈은 그런게 없음"
13,429,802,효과가 즉각적이고 괜찮아서
13,430,879,"딱히 불편함을 느끼거나, 다른 제품에 비해서 떨어진다는 느낌을 받지 않았기 때문이다"
13,431,2854,효과가 신속함
13,432,807,무념
13,433,2524,근본적 치료는 되지 않아서... 일시적 치료제인것 같음.
13,434,812,가격에 비해 효과도 좋고 사용도 편리 하며 휴대하기에도 좋다.
13,435,814,큰 영향력은 없어서
13,436,2525,딱히 효능을 못봐서
13,437,1843,일주일 정도 사용했을때 효과가 있었고 사용하면서도 부담감이 느껴지지 않았다.
13,438,1844,사용할 당시는 효과가 있으나 지속성이 떨어짐
13,439,821,다른제품과 특별히 다른 점을 찾지 못했다.
13,440,824,일년 사용하고 괜찮아짐
13,441,826,손쉽게 구할수 있고 익숙한 브랜드라서
13,442,1851,스프레이 제품 자체를 별로 선호하지 않음.
13,443,830,뿌리기 전보다 숨쉬기 편해짐
13,444,2357,예전에 사용해봤을 때는 쓰다는 느낌만 강함
13,445,833,일시적인 효과가 뛰어나다.
13,446,2883,근본적인 치료가 되지 않았음
13,447,1164,심한 증상 완화에 도움
13,448,843,"우선 즉각적인 효과..사용의 편의성,."
13,449,844,"피지오머 베이비라고해서 신생아가 아닌  
유아들이 쓸 수 있는 제품인데 
분사력 자체가 생각보다 고르지못하고 
약품 분사력이 너무 굵다.(쎄다) 
22개월인 아기인데 코에 자극이 되는지 놀라는편이고  
부드러운 미스트 타입이 아니라서 조금 쓰기 불편했다. 
분사버튼 자체도 분무기 형태가 아니라 
펌핑형태라서 움직이는 아이한테 쓰기엔 힘들다."
13,450,1506,효과가 크게 느껴지지 않았다
13,451,2189,사용후 콧물 줄어듬 코 가려움 줄어듬 지속력이 꽤오래감
13,452,849,흔한 제품이므로
13,453,850,평소에 잘안써서
13,454,851,완치가 되지 않고 일시적인 효과만 있다
13,455,853,효과는 있고 치료되지는 않음
13,456,1878,코막힘을 잘 해결해주기 때문에
13,457,1324,느낌이 좋지않고 효과가 오래가지않아서
13,458,233,분무시 조금 불편함이 있었음. 사용 후 액이 흘러내리는 점 또한
13,459,2313,확실한 효과
13,460,2362,효과가 빠르게 나타나서
13,461,1886,일시적으로 콧물이 멈춘다.
13,462,863,코막힘과 콧물 증상이 완화돠어 효과가 괜찮은 편
13,463,1888,체질
13,464,2915,증상완화가 늦어서
13,465,2916,뿌리고 나면 효과가 있으므로
13,466,869,효과가 빠른것 같아서 만족
13,467,142,유명함
13,468,872,많이사용하진않았지만 효과를 금방봤다
13,469,876,코막힘에 굉장히 효과적이여서 좋다.
13,470,1902,이약이 유독 시원하게 코가잘뚫리는것같다
13,471,1903,효과를 잘 모르겠다
13,472,880,"코가 막혀서 진짜 세상이 멸망하고 모든 희망이 다 사라져서 죽고싶을 때, 다시 나를 살 수 있게 해줌. 그러나 너무 오래써서 내성이 생겼다ㅠㅡㅠ 그래도 오랜만에 다시 쓰면 또 잘 뚫림. 여튼 내 인생의 희망을 불어넣어줌."
13,473,1512,드라마틱한 효과는 없고 증상을 조금 완화시키는데에 도움이 되었다.
13,474,2195,일시적으로 원하는 증상이 나왔기 때문에 만족하는 편이다
13,475,884,졸음과 같은 부작용이 적고 콧물 감기에 효과적이다
13,476,1909,즉각적으로 효과가 있다고 느껴서
13,477,950,즉시 효과가 나왔다
13,478,1845,부작용 이야기는 있으니 효과가 즉시적이다
13,479,889,효능이 즉각적이다
13,480,1514,사용이 편리하고 효과가 즉시 있는 편이다
13,481,2379,부작용도 없고 효과도 만족
13,482,1121,효과가 지속되고 간편하다
13,483,1928,코막힘이 심해서 효과를 크게 못 느꼈다.
13,484,2304,증상이 있을경우 사용하면 빠른 효과를 보았습니다.
13,485,2110,사용하면 효과는 보나 지속력이 오래 가지는 않았음
13,486,911,제품을 사용하는 동안은 효과가 있었기 때문에 만족합니다
13,487,1688,어쩔땐 괜찮다가 또 어쩔된 안괜찮았다가;;
13,488,1938,잘 듣는거 같기도 하구 아닌거 같기두 하구
13,489,1859,쓸스록 내성이 생기는 느낌이고 뿌릴때만 매우 일시적이며 지속적이지 않았다.
13,490,916,효과 지속력과 내성발발이 적어 보다 안심하고 사용할 수 있기 때문에
13,491,917,효과를 잘 모르겠다
13,492,1942,중간이상이다.
13,493,2201,특별히 효과가 큰거같지않음
13,494,921,"가격대가 적당하고, 의사가 추천해준 것이 큰 이유임."
13,495,2373,사용했을때 코가 시원하게 뻥 뚫려서 만족하는 편입니다.
13,496,1955,효능이 뛰어나다
13,497,2374,심각한 증세보다 보조제라고 생각하고 큰기대를 안함
13,498,934,신속하게 파고듬
13,499,940,효과가 어느정도 있어서
13,500,943,아이가 잘 사용 한다
13,501,944,순간적
13,502,2376,잠깐처방받아 쓴거라 모르겠다
13,503,2547,약을 뿌리고 나서 코가 바로 뚫리고 콧물이 안나는 효과가 좋기 때문에
13,504,1974,대체로 약을 사용 했을 시 비염증상이 많이 완화됨을 느낌
13,505,841,타제품과 비교해서 차이를 크게 느끼지 못했다
13,506,1600,코에 뿌리고 난후 효과가 괜찮아서 사용하겠됐음.
13,507,1979,"사용감이 괜찮고, 즉각적으로 코막힘이 완화되고 시원한 느낌을 받고 있어서"
13,508,958,전반적으로 괜찮은 느낌
13,509,1983,무난해서
13,510,960,아이가 쓰고나서 덜 힘들어해서
13,511,961,시원하고 간편하다
13,512,1987,코가 많이 흐르거나 막혔을 때 사용하면 효과 적이였다
13,513,1014,지속성이 약해서
13,514,971,주변 지인들도 많이 사용하고있으며 개인적으로도 부작용이나 불편함없이 잘사용 하고 있다
13,515,977,"복용후 효과가 빠르,다"
13,516,2211,다른 제품을 사용해보지 않았기 때문
13,517,980,사용해보니 좋더라구요
13,518,982,기존 오트리빈보다 덜 자극적이여서
13,519,2554,뿌리고 자니까 증상이 완화되는 느낌이었음
13,520,2021,코액 스프레이헤두 뻥뚤리는 느낌이 없. 코가 아플때두 있구...
13,521,1363,간편하고 주변에서 많이 사용하고 있고 부작용도 없어서
13,522,2029,약사가 추천해줘서 샀는데 괜찮은 것 같다
13,523,1006,효과가 빠르고 지속이 오래된다.
13,524,1008,기본은 충족하는 것 같아서.
13,525,2033,다른 약은 모르겠지만 특별한점을 못 느낌
13,526,859,빠르게 작용한다.
13,527,1350,눈이 띄는 효과는 모르겠다
13,528,1015,유해성이 적다고 들어서
13,529,1016,약효가 오래가고 부작용이 적은거같다
13,530,1017,대체적으로 비염스프레이를 좋아하지는 않는다
13,531,1020,"사용의 편의성, 효과의 신속성"
13,532,1023,나잘보다 성능 떨어져서
